宁,寧
宝,寶
实,實
宠,寵
审,審
宪,憲
宫,宮
宽,寬
宾,賓
寝,寢
对,對
寻,尋
导,導
寿,壽
将,將
尔,爾
尘,塵
尝,嘗
尧,堯
尴,尷
尸,屍
尽,盡
层,層
屉,屜
届,屆
属,屬
屡,屢
屿,嶼
岁,歲
岂,豈
岖,嶇
岚,嵐
岛,島
岭,嶺
峡,峽
峥,崢
峦,巒
崭,嶄
巅,巔
巩,鞏
币,幣
帅,帥
师,師
帐,帳
帘,簾
帜,幟
带,帶
帧,幀
帮,幫
帼,幗
干,乾
并,並
广,廣
庄,莊
庆,慶
庐,廬
库,庫
应,應
庙,廟
庞,龐
废,廢
开,開
异,異
弃,棄
张,張
弥,彌
弯,彎
弹,彈
强,強
归,歸
当,當
录,錄
彦,彥
彷,徬
彻,徹
征,徵
径,徑
忆,憶
忏,懺
忧,憂
忾,愾
怀,懷
态,態
怂,慫
怅,悵
怆,愴
怜,憐
总,總
恋,戀
恒,恆
恳,懇
恶,惡
恸,慟
恻,惻
恼,惱
悦,悅
悬,懸
悯,憫
惊,驚
惧,懼
惨,慘
惩,懲
惫,憊
惬,愜
惭,慚
惮,憚
惯,慣
愠,慍
愤,憤
愿,願
慑,懾
懑,懣
懒,懶
懔,懍
戏,戲
战,戰
户,戶
扑,撲
执,執
扩,擴
扪,捫
扫,掃
扬,揚
扰,擾
抚,撫
抛,拋
抡,掄
抢,搶
护,護
报,報
担,擔
拟,擬
拢,攏
拣,揀
拥,擁
拦,攔
拧,擰
拨,撥
择,擇
挂,掛
挚,摯
挛,攣
挞,撻
挟,挾
挠,撓
挡,擋
挣,掙
挤,擠
挥,揮
挽,輓
捞,撈
损,損
捡,撿
换,換
捣,搗
据,據
掳,擄
掴,摑
掷,擲
揽,攬
搀,攙
搁,擱
搂,摟
搅,攪
携,攜
摄,攝
摆,擺
摇,搖
摊,攤
撑,撐
撵,攆
擞,擻
敌,敵
敛,斂
数,數
斋,齋
斗,鬥
斩,斬
断,斷
无,無
旧,舊
时,時
旷,曠
昼,晝
显,顯
晋,晉
晒,曬
晓,曉
晕,暈
晖,暉
暂,暫
暧,曖
术,術
朴,樸
机,機
杀,殺
杂,雜
权,權
杆,桿
杠,槓
条,條
来,來
杨,楊
杰,傑
极,極
构,構
枞,樅
枢,樞
枣,棗
枪,槍
枫,楓
枭,梟
柜,櫃
柠,檸
栀,梔
栅,柵
标,標
栈,棧
栉,櫛
栋,棟
栏,欄
树,樹
栖,棲
样,樣
桢,楨
档,檔
桥,橋
桦,樺
桧,檜
桨,槳
桩,樁
梦,夢
检,檢
棱,稜
椁,槨
椟,櫝
椭,橢
楼,樓
榄,欖
榈,櫚
槛,檻
槟,檳
横,橫
樱,櫻
橱,櫥
橹,櫓
欢,歡
欤,歟
欧,歐
歼,殲
殁,歿
殇,殤
残,殘
殓,殮
殡,殯
殴,毆
毁,毀
毕,畢
毙,斃
气,氣
氢,氫
氲,氳
汇,匯
汉,漢
汤,湯
汹,洶
沉,沈
沟,溝
没,沒
沥,瀝
沦,淪
沧,滄
沪,滬
泄,洩
泞,濘
泪,淚
泻,瀉
泼,潑
泽,澤
泾,涇
洁,潔
洒,灑
洼,窪
浅,淺
浆,漿
浇,澆
浊,濁
测,測
济,濟
浏,瀏
浑,渾
浓,濃
涂,塗
涌,湧
涛,濤
涟,漣
涡,渦
涣,渙
涤,滌
润,潤
涧,澗
涨,漲
涩,澀
淀,澱
渊,淵
渍,漬
渎,瀆
渐,漸
渔,漁
渗,滲
温,溫
湾,灣
湿,濕
溃,潰
溅,濺
滚,滾
滞,滯
满,滿
滤,濾
滥,濫
滦,灤
滨,濱
滩,灘
漓,灕
潇,瀟
潜,潛
澜,瀾
濑,瀨
濒,瀕
灭,滅
灯,燈
灵,靈
灾,災
灿,燦
炀,煬
炉,爐
炖,燉
点,點
炼,煉
炽,熾
烁,爍
烂,爛
烛,燭
烟,煙
烦,煩
烧,燒
烩,燴
烫,燙
热,熱
焕,煥
焖,燜
爱,愛
爷,爺
牍,牘
牦,氂
牵,牽
牺,犧
犊,犢
状,狀
犷,獷
犹,猶
狈,狽
狞,獰
独,獨
狭,狹
狮,獅
狰,猙
狱,獄
猎,獵
猡,玀
猪,豬
猫,貓
献,獻
獭,獺
玑,璣
玛,瑪
环,環
现,現
玺,璽
珐,琺
珑,瓏
珲,琿
琐,瑣
琼,瓊
瑶,瑤
瑷,璦
瓮,甕
瓯,甌
电,電
画,畫
畅,暢
畴,疇
疗,療
疟,瘧
疠,癘
疡,瘍
疮,瘡
疯,瘋
疱,皰
痉,痙
痒,癢
痨,癆
痪,瘓
瘫,癱
瘾,癮
癞,癩
癣,癬
癫,癲
皑,皚
皱,皺
盏,盞
盐,鹽
监,監
